,obj_type,num_objects,gpu,num_cpus,computation_time
0,sphere,1,True,15,1.2952499389648438
1,sphere,1,True,7,0.6487817764282227
2,sphere,1,True,3,0.4052889347076416
3,sphere,1,True,1,0.16375088691711426
4,sphere,1,True,0,0.14874768257141113
5,sphere,1,False,15,0.16718006134033203
6,sphere,1,False,7,0.0880129337310791
7,sphere,1,False,3,0.046457529067993164
8,sphere,1,False,1,0.015048503875732422
9,sphere,1,False,0,0.00623011589050293
10,sphere,10,True,15,1.5607523918151855
11,sphere,10,True,7,0.9444172382354736
12,sphere,10,True,3,0.8253931999206543
13,sphere,10,True,1,0.3169677257537842
14,sphere,10,True,0,0.27066707611083984
15,sphere,10,False,15,0.15645098686218262
16,sphere,10,False,7,0.10064077377319336
17,sphere,10,False,3,0.06028103828430176
18,sphere,10,False,1,0.020990610122680664
19,sphere,10,False,0,0.011546134948730469
20,sphere,100,True,15,1.4203717708587646
21,sphere,100,True,7,1.1479220390319824
22,sphere,100,True,3,0.5656330585479736
23,sphere,100,True,1,0.32570719718933105
24,sphere,100,True,0,0.2623910903930664
25,sphere,100,False,15,0.3749713897705078
26,sphere,100,False,7,0.12948203086853027
27,sphere,100,False,3,0.07596611976623535
28,sphere,100,False,1,0.036818742752075195
29,sphere,100,False,0,0.025557518005371094
30,sphere,1000,True,15,2.0437259674072266
31,sphere,1000,True,7,1.6626629829406738
32,sphere,1000,True,3,0.5784788131713867
33,sphere,1000,True,1,0.5372445583343506
34,sphere,1000,True,0,0.5015077590942383
35,sphere,1000,False,15,1.7437036037445068
36,sphere,1000,False,7,1.3520092964172363
37,sphere,1000,False,3,1.6418774127960205
38,sphere,1000,False,1,0.815946102142334
39,sphere,1000,False,0,0.38912510871887207
40,sphere,5000,True,15,5.323946714401245
41,sphere,5000,True,7,4.999704837799072
42,sphere,5000,True,3,2.409075975418091
43,sphere,5000,True,1,1.7768537998199463
44,sphere,5000,True,0,1.697235107421875
45,sphere,5000,False,15,9.559634447097778
46,sphere,5000,False,7,4.7197864055633545
47,sphere,5000,False,3,2.220122814178467
48,sphere,5000,False,1,4.269895076751709
49,sphere,5000,False,0,4.06330418586731
50,sphere,10000,True,15,14.67730975151062
51,sphere,10000,True,7,11.843056201934814
52,sphere,10000,True,3,4.818507671356201
53,sphere,10000,True,1,5.4863951206207275
54,sphere,10000,True,0,5.132930040359497
55,sphere,10000,False,15,38.51351284980774
56,sphere,10000,False,7,32.3746395111084
57,sphere,10000,False,3,8.809748649597168
58,sphere,10000,False,1,16.427945613861084
59,sphere,10000,False,0,16.477397441864014
60,sphere,25000,True,15,43.208240032196045
61,sphere,25000,True,7,39.52573108673096
62,sphere,25000,True,3,13.637491941452026
63,sphere,25000,True,1,24.11949396133423
64,sphere,25000,True,0,22.865766048431396
65,sphere,25000,False,15,85.67458009719849
66,sphere,25000,False,7,80.49724054336548
67,sphere,25000,False,3,42.81138372421265
68,sphere,25000,False,1,80.00186729431152
69,sphere,25000,False,0,79.23846340179443
70,sphere,50000,True,15,69.88223028182983
71,sphere,50000,True,7,88.41077136993408
72,sphere,50000,True,3,33.4470648765564
73,sphere,50000,True,1,61.58557415008545
74,sphere,50000,True,0,58.012457609176636
75,sphere,50000,False,15,149.12232995033264
76,sphere,50000,False,7,140.07249355316162
77,sphere,50000,False,3,123.84002828598022
78,sphere,50000,False,1,219.64273810386658
79,sphere,50000,False,0,217.92466115951538
80,spade,1,True,15,1.3133485317230225
81,spade,1,True,7,0.8415195941925049
82,spade,1,True,3,0.6193141937255859
83,spade,1,True,1,0.2592630386352539
84,spade,1,True,0,0.2105848789215088
85,spade,1,False,15,0.15001535415649414
86,spade,1,False,7,0.08974170684814453
87,spade,1,False,3,0.051299095153808594
88,spade,1,False,1,0.018766403198242188
89,spade,1,False,0,0.010501384735107422
90,spade,10,True,15,1.323634386062622
91,spade,10,True,7,1.2233281135559082
92,spade,10,True,3,1.0771913528442383
93,spade,10,True,1,0.45082831382751465
94,spade,10,True,0,0.3465085029602051
95,spade,10,False,15,0.31767964363098145
96,spade,10,False,7,0.130507230758667
97,spade,10,False,3,0.16478657722473145
98,spade,10,False,1,0.2583649158477783
99,spade,10,False,0,0.09956026077270508
100,spade,100,True,15,2.6204147338867188
101,spade,100,True,7,1.152562141418457
102,spade,100,True,3,1.9385919570922852
103,spade,100,True,1,0.9906847476959229
104,spade,100,True,0,0.9129204750061035
105,spade,100,False,15,1.8415746688842773
106,spade,100,False,7,1.7247564792633057
107,spade,100,False,3,0.3045780658721924
108,spade,100,False,1,0.4502263069152832
109,spade,100,False,0,0.4214787483215332
110,spade,1000,True,15,7.012613534927368
111,spade,1000,True,7,6.522408723831177
112,spade,1000,True,3,3.4677741527557373
113,spade,1000,True,1,4.468958139419556
114,spade,1000,True,0,4.440768241882324
115,spade,1000,False,15,26.324387788772583
116,spade,1000,False,7,20.723581314086914
117,spade,1000,False,3,7.218126058578491
118,spade,1000,False,1,16.38757085800171
119,spade,1000,False,0,16.089231967926025
120,spade,5000,True,15,55.39704656600952
121,spade,5000,True,7,50.983482122421265
122,spade,5000,True,3,27.75097680091858
123,spade,5000,True,1,39.101998805999756
124,spade,5000,True,0,39.79239535331726
125,spade,5000,False,15,201.6752450466156
126,spade,5000,False,7,173.0091269016266
127,spade,5000,False,3,180.19462633132935
128,spade,5000,False,1,377.9168176651001
129,spade,5000,False,0,376.43135952949524
130,spade,10000,True,15,150.85178351402283
131,spade,10000,True,7,146.14533257484436
132,spade,10000,True,3,77.4908139705658
133,spade,10000,True,1,128.8593430519104
134,spade,10000,True,0,118.57878184318542
135,spade,10000,False,15,553.4591491222382
136,spade,10000,False,7,503.48475074768066
137,spade,10000,False,3,589.4863390922546
138,spade,10000,False,1,1258.9333672523499
139,spade,10000,False,0,1230.4994132518768
